Date,Open,High,Low,Close,Adj Close,Volume
1998-06-01,45.375000,58.000000,43.375000,56.625000,44.546200,3183600
1998-07-01,55.218750,62.250000,48.000000,61.500000,48.381298,7455800
1998-08-01,60.000000,60.125000,40.500000,41.875000,32.942547,16054900
1998-09-01,45.875000,53.125000,38.000000,38.937500,30.631660,18417500
1998-10-01,36.312500,42.812500,29.687500,42.062500,33.090054,24187100
1998-11-01,42.437500,44.875000,40.375000,42.312500,33.286732,8561800
1998-12-01,41.187500,43.125000,34.687500,36.062500,28.369930,16785600
1999-01-01,38.375000,38.750000,29.000000,33.937500,26.698223,30486600
1999-02-01,33.687500,33.687500,29.062500,32.000000,25.174007,11412000
1999-03-01,31.750000,31.937500,23.750000,26.312500,20.699724,24541000
1999-04-01,26.437500,32.062500,24.125000,31.375000,24.682327,18250400
1999-05-01,31.750000,37.312500,30.250000,33.562500,26.403208,15352700
1999-06-01,32.125000,35.875000,31.062500,34.625000,27.395281,11684700
1999-07-01,34.312500,36.125000,31.125000,31.687500,25.071138,15440100
1999-08-01,30.812500,34.250000,29.375000,33.000000,26.109589,9253900
1999-09-01,33.312500,39.312500,32.500000,37.750000,29.867785,26667100
1999-10-01,37.250000,41.625000,32.875000,36.562500,28.928236,27764200
1999-11-01,36.437500,38.250000,33.500000,33.562500,26.554638,13629900
1999-12-01,33.125000,55.000000,32.625000,52.062500,41.191822,26631200
2000-01-01,52.562500,71.375000,43.250000,65.187500,51.576324,26730400
2000-02-01,65.500000,75.000000,63.937500,71.312500,56.422424,11405800
2000-03-01,71.187500,85.937500,56.000000,59.750000,47.274185,27356300
2000-04-01,58.625000,59.937500,40.750000,49.125000,38.867680,31519200
2000-05-01,49.375000,51.812500,39.437500,42.875000,33.922680,17085000
2000-06-01,44.000000,53.562500,43.812500,46.625000,37.019909,16046300
2000-07-01,46.187500,60.562500,45.312500,55.750000,44.265095,15333400
2000-08-01,56.625000,64.187500,52.000000,64.187500,50.964413,9560200
2000-09-01,66.687500,68.875000,53.812500,61.500000,48.830547,9230200
2000-10-01,62.500000,63.437500,44.000000,51.000000,40.493626,16265300
2000-11-01,50.562500,53.125000,32.125000,33.250000,26.400261,7064300
2000-12-01,34.125000,42.375000,30.562500,33.687500,26.747637,8104600
2001-01-01,32.312500,49.099998,29.125000,47.639999,37.825813,19293300
2001-02-01,47.639999,47.930000,36.799999,38.689999,30.719574,11416500
2001-03-01,37.270000,39.349998,27.629999,28.990000,23.017849,21938300
2001-04-01,27.200001,40.340000,23.570000,40.299999,31.997908,20568500
2001-05-01,39.700001,40.990002,34.570000,35.110001,27.877089,13048700
2001-06-01,34.389999,38.200001,32.349998,35.090000,27.982199,19342900
2001-07-01,34.349998,36.470001,29.049999,36.080002,28.771675,17859100
2001-08-01,36.650002,38.840000,33.000000,34.490002,27.503740,18343000
2001-09-01,30.610001,32.730000,21.309999,25.920000,20.669668,17954300
